単語, SVL, 回数
blink, 7, 35
bliss, 7, 2
boastful, 7, 3
blunt, 7, 60
bosom, 7, 1
botanical, 7, 6
bowel, 7, 14
bough, 7, 0
bouquet, 7, 11
bracket, 7, 18
breathless, 7, 4
brisk, 7, 16
bridegroom, 7, 0
broaden, 7, 36
broadly, 7, 60
brochure, 7, 1
bruise, 7, 22
brunch, 7, 11
brute, 7, 3
buffet, 7, 15
bulletin, 7, 41
burnt, 7, 38
bureaucracy, 7, 28
bypass, 7, 21
calamity, 7, 7
calcium, 7, 11
campaigner, 7, 82
canary, 7, 23
capsule, 7, 41
cane, 7, 12
caption, 7, 43
captive, 7, 130
caravan, 7, 16
cardboard, 7, 27
cartridge, 7, 24
carving, 7, 7
catastrophe, 7, 44
cellar, 7, 10
census, 7, 100
cater, 7, 26
centered, 7, 46
ceremonial, 7, 25
challenged, 7, 92
chancellor, 7, 197
certify, 7, 16
chaotic, 7, 51
chap, 7, 7
chariot, 7, 2
chatter, 7, 35
cherish, 7, 34
chestnut, 7, 5
chick, 7, 27
chime, 7, 17
choir, 7, 12
chore, 7, 7
chuckle, 7, 11
churchyard, 7, 1
circulate, 7, 75
citizenship, 7, 159
civic, 7, 19
clarify, 7, 55
clatter, 7, 5
clergy, 7, 15
clergyman, 7, 1
cling, 7, 27
clinical, 7, 87
cloakroom, 7, 0
clockwork, 7, 2
clown, 7, 7
clumsy, 7, 11
clutch, 7, 39
coastal, 7, 67
coffin, 7, 29
coil, 7, 8
coincide, 7, 79
colonel, 7, 46
collision, 7, 53
columnist, 7, 64
comforting, 7, 8
commend, 7, 11
commissioner, 7, 162
commonplace, 7, 14
communicative, 7, 0
commonwealth, 7, 56
communism, 7, 13
commuter, 7, 48
compartment, 7, 9
competence, 7, 12
compensate, 7, 41
complement, 7, 22
comprehensive, 7, 93
comprise, 7, 57
comrade, 7, 36
concede, 7, 1101
conceptual, 7, 3
concession, 7, 95
concise, 7, 0
cone, 7, 12
confer, 7, 10
confide, 7, 5
confidential, 7, 56
confirmation, 7, 63
conform, 7, 26
confrontation, 7, 105
consequent, 7, 3
console, 7, 83
consonant, 7, 2
conspiracy, 7, 107
constitutional, 7, 114
contemplate, 7, 27
contend, 7, 71
continuation, 7, 24
continuity, 7, 21
contraction, 7, 19
contractor, 7, 118
contradict, 7, 24
contradiction, 7, 13
contrive, 7, 4
controller, 7, 50
conversion, 7, 76
cordial, 7, 16
corps, 7, 55
corpse, 7, 21
correspondence, 7, 27
courteous, 7, 2
cracked, 7, 48
crab, 7, 6
creditor, 7, 196
creek, 7, 31
cripple, 7, 25
criterion, 7, 50
crude, 7, 282
crumb, 7, 6
crutch, 7, 5
crust, 7, 21
cultivated, 7, 10
cultivation, 7, 20
curly, 7, 15
cylinder, 7, 15
dazzle, 7, 11
deafen, 7, 0
dean, 7, 127
debut, 7, 404
deceitful, 7, 1
decidedly, 7, 18
decisive, 7, 78
deem, 7, 117
deficiency, 7, 7
delegate, 7, 50
delegation, 7, 141
den, 7, 23
density, 7, 36
dependency, 7, 10
descendent, 7, 0
desolate, 7, 3
destined, 7, 24
destroyer, 7, 3
detach, 7, 4
detergent, 7, 7
developmental, 7, 10
devour, 7, 10
diagnosis, 7, 41
dialect, 7, 7
diameter, 7, 23
dictate, 7, 52
dictation, 7, 2
differentiate, 7, 19
diligence, 7, 16
dining, 7, 34
diploma, 7, 5
diplomacy, 7, 65
directive, 7, 38
disarmament, 7, 17
disagreeable, 7, 2
disappearance, 7, 53
disastrous, 7, 35
disbelief, 7, 19
discard, 7, 25
disciple, 7, 5
discomfort, 7, 21
discouragement, 7, 0
disgusted, 7, 7
dismal, 7, 21
dishonor, 7, 1
dismay, 7, 38
dismissal, 7, 52
dispatch, 7, 64
displace, 7, 215
disposal, 7, 26
disposition, 7, 3
dissatisfied, 7, 8
dissatisfaction, 7, 20
distort, 7, 12
distorted, 7, 9
distract, 7, 30
distributor, 7, 41
divert, 7, 55
dividend, 7, 73
doctrine, 7, 28
dogmatic, 7, 0
domain, 7, 35
dome, 7, 29
donate, 7, 126
doom, 7, 45
dormitory, 7, 10
dose, 7, 59
drastic, 7, 30
dreamy, 7, 1
drowsy, 7, 0
duration, 7, 42
dusk, 7, 16
duster, 7, 0
dutiful, 7, 1
eastward, 7, 1
easygoing, 7, 5
eccentric, 7, 13
ecology, 7, 17
edible, 7, 2
editorial, 7, 89
eloquent, 7, 7
elevate, 7, 15
elastic, 7, 13
embrace, 7, 192
embark, 7, 58
emergence, 7, 40
emission, 7, 194
eminent, 7, 12
enchant, 7, 2
enclosure, 7, 8
encore, 7, 10
enforce, 7, 84
enforcement, 7, 239
engaging, 7, 66
enhance, 7, 99
enthusiast, 7, 44
enrich, 7, 25
envelop, 7, 7
epoch, 7, 3
equator, 7, 11
erotic, 7, 14
escort, 7, 45
err, 7, 19
evenly, 7, 18
eventual, 7, 47
excel, 7, 48
exclamation, 7, 4
exclusion, 7, 15
execution, 7, 246
exert, 7, 31
exhausting, 7, 9
exile, 7, 62
existent, 7, 9
expend, 7, 4
expenditure, 7, 43
expertise, 7, 83
expressive, 7, 2
exquisite, 7, 17
eyelash, 7, 1
eyelid, 7, 10
eyesight, 7, 8
fabric, 7, 39
factual, 7, 21
Fahrenheit, 7, 36
falsehood, 7, 6
fascination, 7, 12
fasting, 7, 5
faultless, 7, 1
feedback, 7, 55
feeder, 7, 7
feminine, 7, 12
feverish, 7, 3
fiery, 7, 35
fig, 7, 3
fiscal, 7, 397
fingerprint, 7, 32
flake, 7, 15
flap, 7, 18
flattery, 7, 3
flip, 7, 53
flush, 7, 16
foe, 7, 57
foggy, 7, 9
folklore, 7, 10
footpath, 7, 3
forceful, 7, 15
forbidding, 7, 6
forefather, 7, 2
foresee, 7, 18
formidable, 7, 42
formulate, 7, 7
forsake, 7, 1
forthcoming, 7, 59
forum, 7, 365
fraud, 7, 117
freight, 7, 20
friction, 7, 23
fright, 7, 8
frightful, 7, 2
fringe, 7, 28
functional, 7, 18
furious, 7, 40
furnished, 7, 3
furnace, 7, 8
fury, 7, 40
gardening, 7, 12
gargle, 7, 1
genre, 7, 41
geographical, 7, 20
geology, 7, 10
gigantic, 7, 20
giggle, 7, 10
glacier, 7, 20
glare, 7, 9
given, 7, 1432
goldfish, 7, 4
gospel, 7, 21
gracious, 7, 10
gratify, 7, 5
grease, 7, 12
greed, 7, 18
groom, 7, 29
growl, 7, 5
grumble, 7, 10
guardian, 7, 139
gull, 7, 4
gunshot, 7, 45
hairy, 7, 5
halve, 7, 53
handicraft, 7, 1
handshake, 7, 17
handout, 7, 8
handwriting, 7, 10
hare, 7, 9
harmonious, 7, 10
hatch, 7, 36
haul, 7, 92
hazard, 7, 91
hearth, 7, 4
heartily, 7, 0
hearty, 7, 3
heed, 7, 20
heighten, 7, 39
hijack, 7, 34
hereafter, 7, 0
hind, 7, 12
hinder, 7, 56
hindrance, 7, 6
hiss, 7, 10
hive, 7, 3
homecoming, 7, 7
hoof, 7, 3
hopefully, 7, 193
horoscope, 7, 2
horseshoe, 7, 0
hostel, 7, 3
hound, 7, 13
hourly, 7, 21
householder, 7, 4
humid, 7, 5
humility, 7, 12
hurdle, 7, 109
hurl, 7, 31
hush, 7, 5
husky, 7, 6
hydrogen, 7, 79
hypothesis, 7, 15
idealistic, 7, 2
identical, 7, 38
identifiable, 7, 2
idol, 7, 65
illuminate, 7, 19
illumination, 7, 3
implore, 7, 9
imposing, 7, 65
imprisonment, 7, 32
inactive, 7, 7
inability, 7, 24
improper, 7, 3
incentive, 7, 132
incessant, 7, 3
incidence, 7, 19
incidentally, 7, 5
inclusion, 7, 46
inclusive, 7, 52
inconvenience, 7, 18
inconvenient, 7, 9
incorporate, 7, 41
indignant, 7, 5
indicator, 7, 62
indignation, 7, 18
indignity, 7, 7
indispensable, 7, 9
induce, 7, 51
indulge, 7, 19
inexperienced, 7, 14
ingenious, 7, 4
inherent, 7, 27
injustice, 7, 37
injection, 7, 58
inland, 7, 11
innumerable, 7, 5
innocence, 7, 39
insane, 7, 30
insignificant, 7, 10
installation, 7, 53
instinctive, 7, 8
insulting, 7, 97
intact, 7, 47
intake, 7, 9
intelligible, 7, 1
intensify, 7, 123
intensive, 7, 48
intentional, 7, 26
interaction, 7, 80
interference, 7, 30
intersection, 7, 15
intrude, 7, 5
invalid, 7, 8
invariably, 7, 16
ironical, 7, 0
itch, 7, 6
jeweler, 7, 6
jockey, 7, 36
jug, 7, 2
junction, 7, 13
kernel, 7, 3
knob, 7, 1
kin, 7, 9
knowledgeable, 7, 8
knuckle, 7, 4
lament, 7, 38
landlord, 7, 10
lapse, 7, 31
lash, 7, 124
latitude, 7, 6
lavatory, 7, 2
lawful, 7, 11
leaflet, 7, 6
lecturer, 7, 28
lease, 7, 55
leftover, 7, 16
legislative, 7, 69
legitimate, 7, 96
lengthen, 7, 5
leopard, 7, 10
lessen, 7, 13
liability, 7, 67
liable, 7, 33
lieutenant, 7, 69
lifeboat, 7, 10
lighten, 7, 6
lighthouse, 7, 5
limp, 7, 23
linear, 7, 11
linger, 7, 53
linguistic, 7, 6
livelihood, 7, 24
locomotive, 7, 16
lizard, 7, 52
lofty, 7, 20
lonesome, 7, 3
longtime, 7, 159
loop, 7, 58
lorry, 7, 37
lotion, 7, 1
lottery, 7, 29
luncheon, 7, 11
luxurious, 7, 11
madly, 7, 4
magnify, 7, 11
magnitude, 7, 29
mainstream, 7, 142
malice, 7, 1
manifest, 7, 10
mansion, 7, 57
mantle, 7, 12
marsh, 7, 30
marshal, 7, 19
maple, 7, 25
masculine, 7, 1
maturity, 7, 23
mediator, 7, 21
meditate, 7, 2
meditation, 7, 14
melancholy, 7, 16
memorandum, 7, 14
menace, 7, 32
mentality, 7, 55
merchandise, 7, 33
merciful, 7, 4
mercury, 7, 36
messy, 7, 33
metropolis, 7, 14
metropolitan, 7, 84
miner, 7, 48
mileage, 7, 9
miraculous, 7, 4
misplace, 7, 21
modification, 7, 26
monarchy, 7, 46
monk, 7, 115
monotonous, 7, 1
mortality, 7, 34
monstrous, 7, 17
mortgage, 7, 192
motionless, 7, 7
motivation, 7, 71
mover, 7, 12
municipal, 7, 58
muse, 7, 61
mustache, 7, 24
mute, 7, 17
nationalism, 7, 22
nationalize, 7, 0
navigate, 7, 66
navigator, 7, 4
negligence, 7, 23
nominate, 7, 284
notable, 7, 90
notwithstanding, 7, 17
nourish, 7, 1
oath, 7, 40
obstinate, 7, 1
occurrence, 7, 23
oddly, 7, 14
omission, 7, 19
operating, 7, 448
oppress, 7, 6
oppression, 7, 16
optimism, 7, 76
orderly, 7, 19
optimist, 7, 12
ordinarily, 7, 3
outfit, 7, 92
outgoing, 7, 41
outing, 7, 40
outrage, 7, 115
overturn, 7, 90
overview, 7, 9
pail, 7, 0
panorama, 7, 13
papal, 7, 32
paralyze, 7, 24
parsley, 7, 1
partake, 7, 4
pastor, 7, 21
pathetic, 7, 11
pathway, 7, 9
patriot, 7, 76
patriotic, 7, 80
pave, 7, 63
payable, 7, 2
payer, 7, 7
pebble, 7, 7
pedestrian, 7, 21
peg, 7, 52
peninsula, 7, 235
perpetual, 7, 11
perplex, 7, 12
persuasion, 7, 4
persuasive, 7, 4
pessimism, 7, 8
pessimist, 7, 4
petition, 7, 103
pharmacist, 7, 6
picturesque, 7, 8
piercing, 7, 2
pious, 7, 3
pipeline, 7, 186
pitiful, 7, 4
planetary, 7, 76
plaster, 7, 19
playful, 7, 13
pluck, 7, 12
plumber, 7, 16
plump, 7, 0
poisoning, 7, 33
polar, 7, 35
potluck, 7, 1
pottery, 7, 7
pouch, 7, 5
precede, 7, 23
precision, 7, 63
predecessor, 7, 127
preface, 7, 3
preferable, 7, 7
premier, 7, 861
prescribe, 7, 17
preside, 7, 49
prestige, 7, 20
presumably, 7, 54
presume, 7, 40
prevailing, 7, 22
prevalent, 7, 23
prior, 7, 198
profess, 7, 10
projection, 7, 90
pronoun, 7, 1
prop, 7, 123
prophet, 7, 384
propaganda, 7, 150
prospective, 7, 38
prune, 7, 2
pulse, 7, 18
punctuality, 7, 3
quaint, 7, 11
qualified, 7, 79
quart, 7, 0
queer, 7, 1
quicken, 7, 3
quotation, 7, 4
rake, 7, 21
raid, 7, 414
ranch, 7, 27
rash, 7, 24
rationality, 7, 3
rationalize, 7, 2
realization, 7, 14
reappear, 7, 7
rebellious, 7, 14
recite, 7, 15
reckon, 7, 25
recollect, 7, 0
recollection, 7, 8
reconcile, 7, 19
reconciliation, 7, 78
reed, 7, 68
referee, 7, 251
refinement, 7, 6
refrain, 7, 51
regime, 7, 206
regrettable, 7, 20
rehabilitation, 7, 45
rein, 7, 60
reinforce, 7, 102
relay, 7, 35
reluctance, 7, 28
renewal, 7, 21
reorganize, 7, 13
repent, 7, 3
reprint, 7, 30
reproach, 7, 5
respective, 7, 42
reptile, 7, 19
resistant, 7, 45
respectively, 7, 107
responsive, 7, 16
restrictive, 7, 21
revealing, 7, 63
revelation, 7, 76
reverence, 7, 5
rhetoric, 7, 84
ridicule, 7, 42
rim, 7, 24
ripen, 7, 3
riot, 7, 115
roller, 7, 35
rooster, 7, 13
rot, 7, 10
rotation, 7, 30
rotten, 7, 24
roundabout, 7, 10
rouse, 7, 4
royalty, 7, 57
rug, 7, 16
rugged, 7, 13
rustle, 7, 1
safeguard, 7, 64
saloon, 7, 8
sane, 7, 3
sanitary, 7, 6
satire, 7, 41
scandalous, 7, 8
scanty, 7, 1
scarlet, 7, 30
scoop, 7, 37
scornful, 7, 0
seam, 7, 12
seaman, 7, 3
seasonal, 7, 14
seasoning, 7, 1
seeker, 7, 56
selective, 7, 17
semifinal, 7, 215
sensational, 7, 29
senseless, 7, 8
sentimental, 7, 15
sergeant, 7, 15
sermon, 7, 14
setup, 7, 20
serpent, 7, 2
shabby, 7, 4
sexuality, 7, 14
shadowy, 7, 8
shaft, 7, 16
shawl, 7, 2
sherry, 7, 8
shining, 7, 17
shrub, 7, 2
shriek, 7, 13
shrug, 7, 39
silky, 7, 8
simplify, 7, 33
simultaneous, 7, 29
sip, 7, 18
situate, 7, 1
skim, 7, 5
skinny, 7, 17
skyline, 7, 10
slang, 7, 9
slant, 7, 6
slay, 7, 60
sleeper, 7, 25
slot, 7, 107
slug, 7, 8
slumber, 7, 7
sly, 7, 11
smog, 7, 17
snail, 7, 4
snare, 7, 5
snore, 7, 2
socialism, 7, 16
sociologist, 7, 14
soloist, 7, 4
soothe, 7, 10
sophomore, 7, 8
sorrowful, 7, 2
souvenir, 7, 20
sown, 7, 8
sparkling, 7, 15
specimen, 7, 24
spear, 7, 15
spike, 7, 109
splash, 7, 34
splendor, 7, 2
spoke, 7, 544
sponsorship, 7, 66
spontaneous, 7, 13
spotted, 7, 86
sprung, 7, 9
spur, 7, 146
squash, 7, 22
stab, 7, 81
stance, 7, 136
staple, 7, 34
stapler, 7, 0
static, 7, 13
stationery, 7, 5
statistical, 7, 30
steadfast, 7, 17
steward, 7, 24
stiffen, 7, 11
stopper, 7, 8
storehouse, 7, 2
storekeeper, 7, 0
stout, 7, 4
straightforward, 7, 43
strand, 7, 53
striker, 7, 541
stylistic, 7, 1
subdue, 7, 5
subjective, 7, 5
sublime, 7, 18
submarine, 7, 35
submission, 7, 28
subscription, 7, 101
subsequent, 7, 93
subsequently, 7, 98
subsidiary, 7, 353
subsidy, 7, 91
subtract, 7, 10
sullen, 7, 1
summarize, 7, 23
sunk, 7, 21
sunbeam, 7, 1
superb, 7, 109
supernatural, 7, 8
superpower, 7, 16
superstition, 7, 7
supervise, 7, 20
supplier, 7, 309
supportive, 7, 50
suppression, 7, 6
surpass, 7, 147
surplus, 7, 50
suspension, 7, 116
swarm, 7, 16
sweeten, 7, 3
sweetie, 7, 2
swelling, 7, 10
symposium, 7, 4
symbolize, 7, 9
takeout, 7, 1
talkative, 7, 2
tan, 7, 40
tanker, 7, 24
tariff, 7, 110
tasteful, 7, 2
tearful, 7, 15
tedious, 7, 9
telecommunications, 7, 52
teller, 7, 20
temperate, 7, 2
tempest, 7, 3
temporarily, 7, 76
territorial, 7, 61
testify, 7, 121
textile, 7, 15
texture, 7, 14
thaw, 7, 41
theoretical, 7, 14
thereafter, 7, 25
thesis, 7, 20
thicken, 7, 0
thicket, 7, 1
thoughtless, 7, 7
thigh, 7, 40
threshold, 7, 59
thrive, 7, 57
thunderstorm, 7, 6
tidal, 7, 32
timber, 7, 7
tile, 7, 10
timer, 7, 23
timing, 7, 140
tireless, 7, 2
tiresome, 7, 3
tolerable, 7, 2
toil, 7, 9
tolerance, 7, 86
tolerant, 7, 19
toll, 7, 178
tradesman, 7, 2
trainee, 7, 16
traitor, 7, 16
tram, 7, 5
tramp, 7, 0
trample, 7, 8
tranquil, 7, 7
traveling, 7, 177
treasurer, 7, 8
tribute, 7, 157
tricky, 7, 72
trifle, 7, 3
trustee, 7, 7
tumble, 7, 114
turnover, 7, 79
twig, 7, 3
tyranny, 7, 10
tyrant, 7, 3
unanimous, 7, 25
unchanged, 7, 80
understandable, 7, 24
undertaking, 7, 22
undesirable, 7, 12
unhealthy, 7, 36
uniformity, 7, 2
unofficial, 7, 32
unpopular, 7, 32
unpredictable, 7, 44
unskilled, 7, 2
unsure, 7, 21
update, 7, 2105
uphill, 7, 21
uphold, 7, 87
usage, 7, 35
utterance, 7, 2
utensil, 7, 3
vacancy, 7, 15
vaguely, 7, 6
valve, 7, 32
vapor, 7, 12
variable, 7, 39
vein, 7, 23
verbal, 7, 22
vertical, 7, 23
vibrate, 7, 11
victor, 7, 113
virtually, 7, 115
virtuous, 7, 6
vocation, 7, 4
vulgar, 7, 13
wallpaper, 7, 7
wanderer, 7, 6
ware, 7, 9
warfare, 7, 43
warring, 7, 46
washcloth, 7, 2
watering, 7, 10
waver, 7, 13
weary, 7, 20
weird, 7, 51
westward, 7, 6
wheelchair, 7, 35
wholesale, 7, 98
wholesome, 7, 7
willow, 7, 1
wintertime, 7, 3
wither, 7, 25
withstand, 7, 43
witty, 7, 9
wreath, 7, 25
wrestling, 7, 35
wreck, 7, 43
wretched, 7, 2
wring, 7, 9
yarn, 7, 6
zeal, 7, 5
zealous, 7, 5
abnormality, 8, 2
zip, 7, 15
aboriginal, 8, 15
abound, 8, 9
absorbing, 8, 9
absorption, 8, 5
accumulation, 8, 14
accelerate, 8, 147
acknowledgment, 8, 14
acutely, 8, 17
adaptable, 8, 0
adapter, 8, 13
addict, 8, 11
addiction, 8, 48
adhere, 8, 47
adjustable, 8, 6
adolescence, 8, 2
adolescent, 8, 14
adverse, 8, 24
advisable, 8, 3
advocate, 8, 194
aerial, 8, 59
aerospace, 8, 25
aesthetic, 8, 21
affectionately, 8, 5
affirmative, 8, 4
afflict, 8, 16
aging, 8, 64
agitation, 8, 2
agonize, 8, 3
allegation, 8, 423
alleged, 8, 425
allegedly, 8, 215
allocate, 8, 35
alpha, 8, 25
alternatively, 8, 7
ambiguity, 8, 12
ambiguous, 8, 15
amused, 8, 7
amid, 8, 465
analog, 8, 4
analogy, 8, 9
analytic, 8, 6
analytical, 8, 2
anatomy, 8, 15
ancestral, 8, 7
anguish, 8, 10
anti, 8, 1205
annoyed, 8, 20
antibody, 8, 19
apparel, 8, 18
appreciative, 8, 2
arc, 8, 48
arbitrary, 8, 21
archaic, 8, 8
arise, 8, 67
aristocracy, 8, 2
aristocrat, 8, 8
aristocratic, 8, 3
array, 8, 89
arrogance, 8, 9
artisan, 8, 2
ascertain, 8, 14
ascribe, 8, 4
aspiration, 8, 52
aspire, 8, 31
assassinate, 8, 57
assorted, 8, 5
assault, 8, 519
assuming, 8, 49
attainment, 8, 8
attic, 8, 5
audit, 8, 44
authentic, 8, 50
authoritative, 8, 8
autonomy, 8, 59
aviation, 8, 185
avocado, 8, 19
babble, 8, 1
bail, 8, 87
badge, 8, 20
balanced, 8, 47
ballad, 8, 12
baron, 8, 14
barren, 8, 5
bass, 8, 23
batch, 8, 35
batter, 8, 34
bearer, 8, 4
bearing, 8, 70
bewilder, 8, 9
bewilderment, 8, 3
biased, 8, 14
biographer, 8, 2
biographical, 8, 4
birthrate, 8, 6
bishop, 8, 105
blackmail, 8, 31
blacksmith, 8, 1
bleak, 8, 36
blur, 8, 28
borderline, 8, 4
brace, 8, 89
botany, 8, 1
breach, 8, 196
breakthrough, 8, 155
breakup, 8, 19
brew, 8, 52
bribery, 8, 22
brink, 8, 49
broker, 8, 218
brood, 8, 8
brownie, 8, 23
buddy, 8, 22
buckle, 8, 11
buffalo, 8, 62
bulky, 8, 5
bully, 8, 66
bum, 8, 15
bumper, 8, 13
bungalow, 8, 4
buttonhole, 8, 0
burglary, 8, 14
calling, 8, 547
cancellation, 8, 46
captivity, 8, 56
carnival, 8, 11
casino, 8, 36
casualty, 8, 169
categorical, 8, 2
celebrity, 8, 195
centigrade, 8, 0
charcoal, 8, 9
charitable, 8, 56
checklist, 8, 6
childcare, 8, 39
chirp, 8, 3
chord, 8, 26
clarity, 8, 42
clasp, 8, 6
claw, 8, 20
cleanse, 8, 15
cleanser, 8, 0
cleanup, 8, 12
clench, 8, 5
clerical, 8, 5
cleverly, 8, 6
closure, 8, 60
clone, 8, 4
cloudless, 8, 1
coalition, 8, 547
cockpit, 8, 99
coeducation, 8, 0
coherent, 8, 19
coincidence, 8, 28
colonize, 8, 9
collide, 8, 35
comma, 8, 1
commentary, 8, 231
commentator, 8, 120
commute, 8, 36
communion, 8, 1
compassion, 8, 15
compatible, 8, 44
compelling, 8, 84
compile, 8, 92
comply, 8, 85
composite, 8, 48
compress, 8, 9
compute, 8, 11
computerize, 8, 1
con, 8, 22
conceit, 8, 3
conceivable, 8, 7
conclusive, 8, 13
confinement, 8, 10
condominium, 8, 3
confirmed, 8, 681
conflicting, 8, 35
congregation, 8, 9
congressional, 8, 146
conscientious, 8, 7
conserve, 8, 12
considerate, 8, 3
consistency, 8, 30
consolidate, 8, 45
consolidation, 8, 52
conspicuous, 8, 6
conspire, 8, 69
constraint, 8, 27
contagious, 8, 34
contaminate, 8, 32
contented, 8, 0
contributor, 8, 56
cookery, 8, 5
coordination, 8, 47
correlation, 8, 18
corresponding, 8, 13
cosmopolitan, 8, 6
countenance, 8, 4
coup, 8, 196
courtyard, 8, 15
cram, 8, 17
cramp, 8, 31
crater, 8, 22
craze, 8, 12
credible, 8, 87
creed, 8, 17
critique, 8, 23
crooked, 8, 5
cruelly, 8, 4
cruiser, 8, 2
crusade, 8, 17
crushing, 8, 38
cubic, 8, 16
cursed, 8, 5
curved, 8, 20
custard, 8, 7
custody, 8, 126
dagger, 8, 3
dandelion, 8, 2
deathbed, 8, 8
customary, 8, 8
decency, 8, 14
decimal, 8, 1
dedication, 8, 22
decorative, 8, 5
defective, 8, 28
degradation, 8, 10
delta, 8, 134
delete, 8, 67
delicacy, 8, 7
demo, 8, 27
demon, 8, 22
deodorant, 8, 0
depict, 8, 182
deprivation, 8, 10
descriptive, 8, 4
deserved, 8, 78
designate, 8, 95
desktop, 8, 66
designing, 8, 32
desperation, 8, 20
detached, 8, 9
detachment, 8, 3
dice, 8, 8
devastate, 8, 57
dignify, 8, 0
dictator, 8, 62
dilemma, 8, 33
directory, 8, 2
disabled, 8, 42
disability, 8, 66
disarm, 8, 16
discern, 8, 6
discontent, 8, 23
disciplinary, 8, 30
disciplined, 8, 33
discontinue, 8, 14
discredit, 8, 31
disdain, 8, 10
discretion, 8, 18
discriminate, 8, 20
disillusion, 8, 16
disinterested, 8, 3
disobedience, 8, 5
disobey, 8, 10
dispense, 8, 15
displacement, 8, 14
displeasure, 8, 15
disposable, 8, 26
disrupt, 8, 135
disregard, 8, 28
disruption, 8, 77
dissolution, 8, 6
distraction, 8, 52
diversion, 8, 6
divided, 8, 116
divinity, 8, 1
documentation, 8, 13
dodge, 8, 45
domination, 8, 24
dominance, 8, 46
don, 8, 170
dough, 8, 4
donor, 8, 187
downhill, 8, 68
dramatize, 8, 9
dramatist, 8, 0
drawback, 8, 13
driven, 8, 287
duly, 8, 8
dumping, 8, 10
dummy, 8, 18
durable, 8, 25
dweller, 8, 14
dynamics, 8, 32
dynamite, 8, 6
eccentricity, 8, 1
ecological, 8, 12
ecologist, 8, 6
ecstasy, 8, 7
eel, 8, 9
electoral, 8, 164
elegance, 8, 7
elimination, 8, 30
eloquence, 8, 3
embroider, 8, 15
emigrate, 8, 22
emigration, 8, 4
emit, 8, 35
emphatic, 8, 13
emphatically, 8, 12
encouraging, 8, 127
encyclopedia, 8, 6
endanger, 8, 32
endorse, 8, 61
endow, 8, 9
endowment, 8, 13
enduring, 8, 40
enlightenment, 8, 3
enlist, 8, 45
enroll, 8, 61
entangle, 8, 3
enterprising, 8, 4
entity, 8, 65
epidemic, 8, 181
entrepreneur, 8, 146
equilibrium, 8, 8
equity, 8, 130
eruption, 8, 24
escalate, 8, 114
estimated, 8, 457
estimation, 8, 7
eternity, 8, 12
etiquette, 8, 9
exalt, 8, 0
exceptionally, 8, 23
exhaustive, 8, 10
exotic, 8, 21
expanse, 8, 11
expel, 8, 47
expire, 8, 105
explanatory, 8, 5
explicit, 8, 33
exploitation, 8, 24
expressway, 8, 9
extinct, 8, 10
extinguish, 8, 15
extravagant, 8, 5
eyeball, 8, 16
eyewitness, 8, 25
facilitate, 8, 54
faction, 8, 133
fad, 8, 9
fading, 8, 26
faintly, 8, 2
falter, 8, 27
fanciful, 8, 4
farmyard, 8, 0
fascism, 8, 11
fatality, 8, 41
favored, 8, 54
fellowship, 8, 6
feminism, 8, 3
fertility, 8, 17
fertilize, 8, 9
fertilizer, 8, 21
festive, 8, 19
festivity, 8, 20
fillet, 8, 0
filling, 8, 47
filmmaker, 8, 96
filthy, 8, 5
fingernail, 8, 1
finished, 8, 491
finite, 8, 10
foil, 8, 40
fishery, 8, 10
footlight, 8, 0
forefront, 8, 32
fragile, 8, 60
forestry, 8, 4
formulation, 8, 3
fragrance, 8, 0
frail, 8, 13
frantic, 8, 17
freelance, 8, 65
friendliness, 8, 4
frustrating, 8, 57
fullness, 8, 1
gale, 8, 15
galaxy, 8, 91
gauge, 8, 85
gender, 8, 134
generalization, 8, 2
generalize, 8, 3
genuinely, 8, 29
glaze, 8, 2
gloom, 8, 18
godfather, 8, 12
goodwill, 8, 30
gourmet, 8, 9
governing, 8, 218
governmental, 8, 17
grader, 8, 14
guerrilla, 8, 26
groundwork, 8, 10
gulp, 8, 3
guru, 8, 18
gush, 8, 5
gut, 8, 67
gymnasium, 8, 11
habitat, 8, 55
habitually, 8, 1
hangover, 8, 16
harassment, 8, 34
hardworking, 8, 13
harmonize, 8, 3
hazelnut, 8, 2
heavyweight, 8, 49
hemisphere, 8, 38
hereditary, 8, 1
heroin, 8, 33
hesitant, 8, 16
hierarchy, 8, 19
hinge, 8, 33
hitch, 8, 16
hitherto, 8, 8
homeland, 8, 110
homosexual, 8, 24
honorary, 8, 10
horrified, 8, 22
hoop, 8, 20
horrify, 8, 15
hose, 8, 15
hospitalize, 8, 43
hostage, 8, 838
humanism, 8, 0
humanitarian, 8, 259
humidity, 8, 12
humiliate, 8, 14
humiliation, 8, 40
hurrah, 8, 1
hybrid, 8, 67
hypocrisy, 8, 19
hysterical, 8, 6
idealism, 8, 3
ideological, 8, 64
ignition, 8, 28
illiterate, 8, 1
illustrated, 8, 39
imagery, 8, 35
imaginable, 8, 6
imbalance, 8, 18
immerse, 8, 19
immigrate, 8, 10
immigration, 8, 276
immoral, 8, 10
immortality, 8, 3
impeachment, 8, 44
impersonal, 8, 3
implication, 8, 105
implicit, 8, 17
implied, 8, 28
impractical, 8, 4
imprint, 8, 11
improbable, 8, 26
impulsive, 8, 3
inaccessible, 8, 15
inaccurate, 8, 36
incoming, 8, 19
inadequacy, 8, 6
incomplete, 8, 15
incomprehensible, 8, 16
